t,x,y,z,vx,vy,vz
0.050,3.0,0.0,0.09,3.0,0.0,0.09
0.060,3.0,0.0,0.08,3.0,0.0,0.08
0.071,3.0,-0.0,0.08,3.0,-0.0,0.08
0.081,3.0,-0.0,0.07,3.0,-0.0,0.07
0.091,3.0,-0.0,0.06,3.0,-0.0,0.06
0.101,3.0,-0.0,0.05,3.0,-0.0,0.05
0.109,3.0,-0.0,0.04,3.0,-0.0,0.04
0.121,3.0,-0.0,0.03,3.0,-0.0,0.03
0.130,3.0,0.0,0.02,3.0,0.0,0.02
0.141,3.0,0.0,0.0,3.0,0.0,0.0
0.151,3.0,0.0,-0.0,3.0,0.0,-0.0
0.159,3.0,0.0,-0.0,3.0,0.0,-0.0
0.171,3.01,0.0,-0.0,3.01,0.0,-0.0
0.180,3.01,0.0,-0.0,3.01,0.0,-0.0
0.191,3.01,0.0,-0.0,3.01,0.0,-0.0
0.199,3.02,0.0,-0.0,3.02,0.0,-0.0
0.207,3.02,0.0,-0.0,3.02,0.0,-0.0
0.217,3.02,0.0,-0.0,3.02,0.0,-0.0
0.231,3.03,0.0,-0.0,3.03,0.0,-0.0
0.237,3.03,0.0,-0.0,3.03,0.0,-0.0
0.250,3.03,0.0,-0.0,3.03,0.0,-0.0
0.256,3.03,0.0,-0.0,3.03,0.0,-0.0
0.270,3.04,0.0,-0.0,3.04,0.0,-0.0
0.280,3.04,0.0,-0.0,3.04,0.0,-0.0
0.289,3.04,0.0,-0.0,3.04,0.0,-0.0
0.299,3.05,0.0,-0.0,3.05,0.0,-0.0
0.311,3.05,0.0,-0.0,3.05,0.0,-0.0
0.319,3.05,0.0,-0.0,3.05,0.0,-0.0
0.331,3.06,0.0,-0.0,3.06,0.0,-0.0
0.340,3.06,0.0,-0.0,3.06,0.0,-0.0
0.349,3.06,0.0,-0.0,3.06,0.0,-0.0
0.361,3.07,0.0,-0.0,3.07,0.0,-0.0
0.370,3.07,0.0,-0.0,3.07,0.0,-0.0
0.381,3.07,0.0,-0.0,3.07,0.0,-0.0
0.390,3.07,0.0,-0.0,3.07,0.0,-0.0
0.400,3.08,0.0,-0.0,3.08,0.0,-0.0
0.410,3.08,0.0,-0.0,3.08,0.0,-0.0
0.420,3.08,0.0,-0.0,3.08,0.0,-0.0
0.431,3.09,0.0,-0.0,3.09,0.0,-0.0
0.441,3.09,0.0,-0.0,3.09,0.0,-0.0
0.451,3.09,0.0,-0.0,3.09,0.0,-0.0
0.461,3.1,0.0,-0.0,3.1,0.0,-0.0
0.471,3.1,0.0,-0.0,3.1,0.0,-0.0
0.481,3.1,0.0,-0.0,3.1,0.0,-0.0
0.491,3.1,0.01,-0.0,3.1,0.01,-0.0
0.501,3.11,0.01,-0.0,3.11,0.01,-0.0
0.508,3.11,0.01,-0.0,3.11,0.01,-0.0
0.521,3.11,0.01,-0.0,3.11,0.01,-0.0
0.531,3.12,0.01,-0.0,3.12,0.01,-0.0
0.541,3.12,0.01,-0.0,3.12,0.01,-0.0
0.551,3.12,0.01,-0.0,3.12,0.01,-0.0
0.561,3.13,0.01,-0.0,3.13,0.01,-0.0
0.571,3.13,0.01,-0.0,3.13,0.01,-0.0
0.581,3.13,0.01,-0.0,3.13,0.01,-0.0
0.591,3.13,0.01,-0.0,3.13,0.01,-0.0
0.601,3.14,0.01,-0.0,3.14,0.01,-0.0
0.611,3.14,0.01,-0.0,3.14,0.01,-0.0
0.621,3.14,0.01,-0.0,3.14,0.01,-0.0
0.631,3.15,0.01,-0.0,3.15,0.01,-0.0
0.641,3.15,0.01,-0.0,3.15,0.01,-0.0
0.651,3.15,0.01,-0.0,3.15,0.01,-0.0
0.661,3.16,0.01,-0.0,3.16,0.01,-0.0
0.671,3.16,0.01,-0.0,3.16,0.01,-0.0
0.681,3.16,0.01,-0.0,3.16,0.01,-0.0
0.691,3.16,0.01,-0.0,3.16,0.01,-0.0
0.701,3.17,0.01,-0.0,3.17,0.01,-0.0
0.711,3.17,0.01,-0.0,3.17,0.01,-0.0
0.721,3.17,0.01,-0.0,3.17,0.01,-0.0
0.731,3.18,0.02,-0.0,3.18,0.02,-0.0
0.741,3.18,0.02,-0.0,3.18,0.02,-0.0
0.751,3.18,0.02,-0.0,3.18,0.02,-0.0
0.761,3.18,0.02,-0.0,3.18,0.02,-0.0
0.771,3.19,0.02,-0.0,3.19,0.02,-0.0
0.781,3.19,0.02,-0.0,3.19,0.02,-0.0
0.791,3.19,0.02,-0.0,3.19,0.02,-0.0
0.801,3.2,0.02,-0.0,3.2,0.02,-0.0
0.811,3.2,0.02,-0.0,3.2,0.02,-0.0
0.821,3.2,0.02,-0.0,3.2,0.02,-0.0
0.831,3.21,0.02,-0.0,3.21,0.02,-0.0
0.841,3.21,0.02,-0.0,3.21,0.02,-0.0
0.851,3.21,0.02,-0.0,3.21,0.02,-0.0
0.861,3.21,0.02,-0.0,3.21,0.02,-0.0
0.871,3.22,0.02,-0.0,3.22,0.02,-0.0
0.881,3.22,0.02,-0.0,3.22,0.02,-0.0
0.891,3.22,0.02,-0.0,3.22,0.02,-0.0
0.901,3.23,0.03,-0.0,3.23,0.03,-0.0
0.911,3.23,0.03,-0.0,3.23,0.03,-0.0
0.921,3.23,0.03,-0.0,3.23,0.03,-0.0
0.931,3.23,0.03,-0.0,3.23,0.03,-0.0
0.941,3.24,0.03,-0.0,3.24,0.03,-0.0
0.951,3.24,0.03,-0.0,3.24,0.03,-0.0
0.961,3.24,0.03,-0.0,3.24,0.03,-0.0
0.971,3.25,0.03,-0.0,3.25,0.03,-0.0
0.981,3.25,0.03,-0.0,3.25,0.03,-0.0
0.991,3.25,0.03,-0.0,3.25,0.03,-0.0
1.001,3.26,0.03,-0.0,3.26,0.03,-0.0
1.011,3.26,0.03,-0.0,3.26,0.03,-0.0
1.021,3.26,0.03,-0.0,3.26,0.03,-0.0
1.031,3.26,0.03,-0.0,3.26,0.03,-0.0
1.041,3.27,0.04,-0.0,3.27,0.04,-0.0
1.050,3.27,0.04,-0.0,3.27,0.04,-0.0
1.061,3.27,0.04,-0.0,3.27,0.04,-0.0
1.071,3.28,0.04,-0.0,3.28,0.04,-0.0
1.081,3.28,0.04,-0.0,3.28,0.04,-0.0
1.091,3.28,0.04,-0.0,3.28,0.04,-0.0
1.101,3.28,0.04,-0.0,3.28,0.04,-0.0
1.111,3.29,0.04,-0.0,3.29,0.04,-0.0
1.121,3.29,0.04,-0.0,3.29,0.04,-0.0
1.131,3.29,0.04,-0.0,3.29,0.04,-0.0
1.141,3.3,0.04,-0.0,3.3,0.04,-0.0
1.151,3.3,0.04,-0.0,3.3,0.04,-0.0
1.160,3.3,0.05,-0.0,3.3,0.05,-0.0
1.168,3.3,0.05,-0.0,3.3,0.05,-0.0
1.180,3.31,0.05,-0.0,3.31,0.05,-0.0
1.191,3.31,0.05,-0.0,3.31,0.05,-0.0
1.201,3.31,0.05,-0.0,3.31,0.05,-0.0
1.211,3.32,0.05,-0.0,3.32,0.05,-0.0
1.221,3.32,0.05,-0.0,3.32,0.05,-0.0
1.228,3.32,0.05,-0.0,3.32,0.05,-0.0
1.240,3.32,0.05,-0.0,3.32,0.05,-0.0
1.251,3.33,0.05,-0.0,3.33,0.05,-0.0
1.261,3.33,0.05,-0.0,3.33,0.05,-0.0
1.270,3.33,0.06,-0.0,3.33,0.06,-0.0
1.281,3.34,0.06,-0.0,3.34,0.06,-0.0
1.291,3.34,0.06,-0.0,3.34,0.06,-0.0
1.301,3.34,0.06,-0.0,3.34,0.06,-0.0
1.311,3.34,0.06,-0.0,3.34,0.06,-0.0
1.320,3.35,0.06,-0.0,3.35,0.06,-0.0
1.331,3.35,0.06,-0.0,3.35,0.06,-0.0
1.340,3.35,0.06,-0.0,3.35,0.06,-0.0
1.351,3.36,0.06,-0.0,3.36,0.06,-0.0
1.360,3.36,0.06,-0.0,3.36,0.06,-0.0
1.370,3.36,0.07,-0.0,3.36,0.07,-0.0
1.380,3.36,0.07,-0.0,3.36,0.07,-0.0
1.390,3.37,0.07,-0.0,3.37,0.07,-0.0
1.398,3.37,0.07,-0.0,3.37,0.07,-0.0
1.410,3.37,0.07,-0.0,3.37,0.07,-0.0
1.421,3.37,0.07,-0.0,3.37,0.07,-0.0
1.430,3.38,0.07,-0.0,3.38,0.07,-0.0
1.441,3.38,0.07,-0.0,3.38,0.07,-0.0
1.451,3.38,0.07,-0.0,3.38,0.07,-0.0
1.461,3.39,0.08,-0.0,3.39,0.08,-0.0
1.471,3.39,0.08,-0.0,3.39,0.08,-0.0
1.481,3.39,0.08,-0.0,3.39,0.08,-0.0
1.491,3.39,0.08,-0.0,3.39,0.08,-0.0
1.501,3.4,0.08,-0.0,3.4,0.08,-0.0
1.511,3.4,0.08,-0.0,3.4,0.08,-0.0
1.521,3.4,0.08,-0.0,3.4,0.08,-0.0
1.530,3.41,0.08,-0.0,3.41,0.08,-0.0
1.541,3.41,0.08,-0.0,3.41,0.08,-0.0
1.551,3.41,0.09,-0.0,3.41,0.09,-0.0
1.561,3.41,0.09,-0.0,3.41,0.09,-0.0
1.571,3.42,0.09,-0.0,3.42,0.09,-0.0
1.581,3.42,0.09,-0.0,3.42,0.09,-0.0
1.591,3.42,0.09,-0.0,3.42,0.09,-0.0
1.600,3.42,0.09,-0.0,3.42,0.09,-0.0
1.611,3.43,0.09,-0.0,3.43,0.09,-0.0
1.621,3.43,0.09,-0.0,3.43,0.09,-0.0
1.631,3.43,0.1,-0.0,3.43,0.1,-0.0
1.639,3.44,0.1,-0.0,3.44,0.1,-0.0
1.652,3.44,0.1,-0.0,3.44,0.1,-0.0
1.662,3.44,0.1,-0.0,3.44,0.1,-0.0
1.672,3.44,0.1,-0.0,3.44,0.1,-0.0
1.682,3.45,0.1,-0.0,3.45,0.1,-0.0
1.692,3.45,0.1,-0.0,3.45,0.1,-0.0
1.702,3.45,0.1,-0.0,3.45,0.1,-0.0
1.712,3.45,0.11,-0.0,3.45,0.11,-0.0
1.722,3.46,0.11,-0.0,3.46,0.11,-0.0
1.732,3.46,0.11,-0.0,3.46,0.11,-0.0
1.742,3.46,0.11,-0.0,3.46,0.11,-0.0
1.752,3.47,0.11,-0.0,3.47,0.11,-0.0
1.762,3.47,0.11,-0.0,3.47,0.11,-0.0
1.772,3.47,0.11,-0.0,3.47,0.11,-0.0
1.782,3.47,0.12,-0.0,3.47,0.12,-0.0
1.792,3.48,0.12,-0.0,3.48,0.12,-0.0
1.802,3.48,0.12,-0.0,3.48,0.12,-0.0
1.812,3.48,0.12,-0.0,3.48,0.12,-0.0
1.822,3.48,0.12,-0.0,3.48,0.12,-0.0
1.832,3.49,0.12,-0.0,3.49,0.12,-0.0
1.842,3.49,0.12,-0.0,3.49,0.12,-0.0
1.852,3.49,0.13,-0.0,3.49,0.13,-0.0
1.862,3.49,0.13,-0.0,3.49,0.13,-0.0
1.872,3.5,0.13,-0.0,3.5,0.13,-0.0
1.882,3.5,0.13,-0.0,3.5,0.13,-0.0
1.892,3.5,0.13,-0.0,3.5,0.13,-0.0
1.902,3.5,0.13,-0.0,3.5,0.13,-0.0
1.912,3.51,0.13,-0.0,3.51,0.13,-0.0
1.922,3.51,0.14,-0.0,3.51,0.14,-0.0
1.932,3.51,0.14,-0.0,3.51,0.14,-0.0
1.942,3.52,0.14,-0.0,3.52,0.14,-0.0
1.951,3.52,0.14,-0.0,3.52,0.14,-0.0
1.962,3.52,0.14,-0.0,3.52,0.14,-0.0
1.972,3.52,0.14,-0.0,3.52,0.14,-0.0
1.982,3.53,0.14,-0.0,3.53,0.14,-0.0
1.992,3.53,0.15,-0.0,3.53,0.15,-0.0
2.002,3.53,0.15,-0.0,3.53,0.15,-0.0
2.012,3.53,0.15,-0.0,3.53,0.15,-0.0
2.022,3.54,0.15,-0.0,3.54,0.15,-0.0
2.032,3.54,0.15,-0.0,3.54,0.15,-0.0
2.042,3.54,0.15,-0.0,3.54,0.15,-0.0
2.052,3.54,0.16,-0.0,3.54,0.16,-0.0
2.062,3.55,0.16,-0.0,3.55,0.16,-0.0
2.072,3.55,0.16,-0.0,3.55,0.16,-0.0
2.082,3.55,0.16,-0.0,3.55,0.16,-0.0
2.092,3.55,0.16,-0.0,3.55,0.16,-0.0
2.102,3.56,0.16,-0.0,3.56,0.16,-0.0
2.112,3.56,0.17,-0.0,3.56,0.17,-0.0
2.122,3.56,0.17,-0.0,3.56,0.17,-0.0
2.132,3.56,0.17,-0.0,3.56,0.17,-0.0
2.142,3.57,0.17,-0.0,3.57,0.17,-0.0
2.152,3.57,0.17,-0.0,3.57,0.17,-0.0
2.162,3.57,0.17,-0.0,3.57,0.17,-0.0
2.172,3.57,0.17,-0.0,3.57,0.17,-0.0
2.182,3.58,0.18,-0.0,3.58,0.18,-0.0
2.192,3.58,0.18,-0.0,3.58,0.18,-0.0
2.202,3.58,0.18,-0.0,3.58,0.18,-0.0
2.212,3.58,0.18,-0.0,3.58,0.18,-0.0
2.222,3.59,0.18,-0.0,3.59,0.18,-0.0
2.232,3.59,0.19,-0.0,3.59,0.19,-0.0
2.242,3.59,0.19,-0.0,3.59,0.19,-0.0
2.252,3.59,0.19,-0.0,3.59,0.19,-0.0
2.262,3.6,0.19,-0.0,3.6,0.19,-0.0
2.272,3.6,0.19,-0.0,3.6,0.19,-0.0
2.282,3.6,0.19,-0.0,3.6,0.19,-0.0
2.292,3.6,0.2,-0.0,3.6,0.2,-0.0
2.302,3.61,0.2,-0.0,3.61,0.2,-0.0
2.312,3.61,0.2,-0.0,3.61,0.2,-0.0
2.322,3.61,0.2,-0.0,3.61,0.2,-0.0
2.332,3.61,0.2,-0.0,3.61,0.2,-0.0
2.342,3.62,0.2,-0.0,3.62,0.2,-0.0
2.352,3.62,0.21,-0.0,3.62,0.21,-0.0
2.362,3.62,0.21,-0.0,3.62,0.21,-0.0
2.364,3.62,0.21,-0.0,3.62,0.21,-0.0
2.380,3.62,0.21,-0.0,3.62,0.21,-0.0
2.391,3.63,0.21,-0.0,3.63,0.21,-0.0
2.401,3.63,0.22,-0.0,3.63,0.22,-0.0
2.411,3.63,0.22,-0.0,3.63,0.22,-0.0
2.421,3.63,0.22,-0.0,3.63,0.22,-0.0
2.426,3.64,0.22,-0.0,3.64,0.22,-0.0
2.440,3.64,0.22,-0.0,3.64,0.22,-0.0
2.449,3.64,0.22,-0.0,3.64,0.22,-0.0
2.459,3.64,0.23,-0.0,3.64,0.23,-0.0
2.470,3.65,0.23,-0.0,3.65,0.23,-0.0
2.479,3.65,0.23,-0.0,3.65,0.23,-0.0
2.486,3.65,0.23,-0.0,3.65,0.23,-0.0
2.499,3.65,0.23,-0.0,3.65,0.23,-0.0
2.508,3.66,0.24,-0.0,3.66,0.24,-0.0
2.521,3.66,0.24,-0.0,3.66,0.24,-0.0
2.531,3.66,0.24,-0.0,3.66,0.24,-0.0
2.541,3.66,0.24,-0.0,3.66,0.24,-0.0
2.550,3.66,0.24,-0.0,3.66,0.24,-0.0
2.561,3.67,0.25,-0.0,3.67,0.25,-0.0
2.569,3.67,0.25,-0.0,3.67,0.25,-0.0
2.581,3.67,0.25,-0.0,3.67,0.25,-0.0
2.589,3.67,0.25,-0.0,3.67,0.25,-0.0
2.596,3.68,0.25,-0.0,3.68,0.25,-0.0
2.607,3.68,0.26,-0.0,3.68,0.26,-0.0
2.619,3.68,0.26,-0.0,3.68,0.26,-0.0
2.626,3.68,0.26,-0.0,3.68,0.26,-0.0
2.638,3.69,0.26,-0.0,3.69,0.26,-0.0
2.645,3.69,0.26,-0.0,3.69,0.26,-0.0
2.661,3.69,0.27,-0.0,3.69,0.27,-0.0
2.671,3.69,0.27,-0.0,3.69,0.27,-0.0
2.681,3.69,0.27,-0.0,3.69,0.27,-0.0
2.691,3.7,0.27,-0.0,3.7,0.27,-0.0
2.694,3.7,0.27,-0.0,3.7,0.27,-0.0
2.710,3.7,0.28,-0.0,3.7,0.28,-0.0
2.722,3.7,0.28,-0.0,3.7,0.28,-0.0
2.731,3.7,0.28,-0.0,3.7,0.28,-0.0
2.738,3.71,0.28,-0.0,3.71,0.28,-0.0
2.751,3.71,0.28,-0.0,3.71,0.28,-0.0
2.761,3.71,0.29,-0.0,3.71,0.29,-0.0
2.769,3.71,0.29,-0.0,3.71,0.29,-0.0
2.781,3.72,0.29,-0.0,3.72,0.29,-0.0
2.785,3.72,0.29,-0.0,3.72,0.29,-0.0
2.800,3.72,0.29,-0.0,3.72,0.29,-0.0
2.811,3.72,0.3,-0.0,3.72,0.3,-0.0
2.821,3.72,0.3,-0.0,3.72,0.3,-0.0
2.831,3.73,0.3,-0.0,3.73,0.3,-0.0
2.841,3.73,0.3,-0.0,3.73,0.3,-0.0
2.852,3.73,0.3,-0.0,3.73,0.3,-0.0
2.861,3.73,0.31,-0.0,3.73,0.31,-0.0
2.871,3.73,0.31,-0.0,3.73,0.31,-0.0
2.881,3.74,0.31,-0.0,3.74,0.31,-0.0
2.891,3.74,0.31,-0.0,3.74,0.31,-0.0
2.901,3.74,0.32,-0.0,3.74,0.32,-0.0
2.911,3.74,0.32,-0.0,3.74,0.32,-0.0
2.921,3.75,0.32,-0.0,3.75,0.32,-0.0
2.931,3.75,0.32,-0.0,3.75,0.32,-0.0
2.941,3.75,0.32,-0.0,3.75,0.32,-0.0
2.951,3.75,0.33,-0.0,3.75,0.33,-0.0
2.961,3.75,0.33,-0.0,3.75,0.33,-0.0
2.971,3.76,0.33,-0.0,3.76,0.33,-0.0
2.981,3.76,0.33,-0.0,3.76,0.33,-0.0
2.991,3.76,0.34,-0.0,3.76,0.34,-0.0
3.001,3.76,0.34,-0.0,3.76,0.34,-0.0
3.011,3.76,0.34,-0.0,3.76,0.34,-0.0
3.021,3.77,0.34,-0.0,3.77,0.34,-0.0
3.031,3.77,0.34,-0.0,3.77,0.34,-0.0
3.041,3.77,0.35,-0.0,3.77,0.35,-0.0
3.051,3.77,0.35,-0.0,3.77,0.35,-0.0
3.061,3.77,0.35,-0.0,3.77,0.35,-0.0
3.071,3.78,0.35,-0.0,3.78,0.35,-0.0
3.081,3.78,0.36,-0.0,3.78,0.36,-0.0
3.091,3.78,0.36,-0.0,3.78,0.36,-0.0
3.101,3.78,0.36,-0.0,3.78,0.36,-0.0
3.112,3.78,0.36,-0.0,3.78,0.36,-0.0
3.121,3.79,0.36,-0.0,3.79,0.36,-0.0
3.131,3.79,0.37,-0.0,3.79,0.37,-0.0
3.141,3.79,0.37,-0.0,3.79,0.37,-0.0
3.151,3.79,0.37,-0.0,3.79,0.37,-0.0
3.161,3.79,0.37,-0.0,3.79,0.37,-0.0
3.171,3.8,0.38,-0.0,3.8,0.38,-0.0
3.181,3.8,0.38,-0.0,3.8,0.38,-0.0
3.191,3.8,0.38,-0.0,3.8,0.38,-0.0
3.201,3.8,0.38,-0.0,3.8,0.38,-0.0
3.211,3.8,0.39,-0.0,3.8,0.39,-0.0
3.221,3.8,0.39,-0.0,3.8,0.39,-0.0
3.231,3.81,0.39,-0.0,3.81,0.39,-0.0
3.241,3.81,0.39,-0.0,3.81,0.39,-0.0
3.251,3.81,0.39,-0.0,3.81,0.39,-0.0
3.261,3.81,0.4,-0.0,3.81,0.4,-0.0
3.272,3.81,0.4,-0.0,3.81,0.4,-0.0
3.281,3.82,0.4,-0.0,3.82,0.4,-0.0
3.291,3.82,0.4,-0.0,3.82,0.4,-0.0
3.301,3.82,0.41,-0.0,3.82,0.41,-0.0
3.311,3.82,0.41,-0.0,3.82,0.41,-0.0
3.321,3.82,0.41,-0.0,3.82,0.41,-0.0
3.331,3.82,0.41,-0.0,3.82,0.41,-0.0
3.341,3.83,0.42,-0.0,3.83,0.42,-0.0
3.351,3.83,0.42,-0.0,3.83,0.42,-0.0
3.361,3.83,0.42,-0.0,3.83,0.42,-0.0
3.371,3.83,0.42,-0.0,3.83,0.42,-0.0
3.381,3.83,0.43,-0.0,3.83,0.43,-0.0
3.391,3.84,0.43,-0.0,3.84,0.43,-0.0
3.401,3.84,0.43,-0.0,3.84,0.43,-0.0
3.411,3.84,0.43,-0.0,3.84,0.43,-0.0
3.421,3.84,0.44,-0.0,3.84,0.44,-0.0
3.431,3.84,0.44,-0.0,3.84,0.44,-0.0
3.441,3.84,0.44,-0.0,3.84,0.44,-0.0
3.451,3.85,0.44,-0.0,3.85,0.44,-0.0
3.461,3.85,0.45,-0.0,3.85,0.45,-0.0
3.471,3.85,0.45,-0.0,3.85,0.45,-0.0
3.481,3.85,0.45,-0.0,3.85,0.45,-0.0
3.491,3.85,0.45,-0.0,3.85,0.45,-0.0
3.501,3.85,0.46,-0.0,3.85,0.46,-0.0
3.511,3.86,0.46,-0.0,3.86,0.46,-0.0
3.521,3.86,0.46,-0.0,3.86,0.46,-0.0
3.531,3.86,0.46,-0.0,3.86,0.46,-0.0
3.541,3.86,0.47,-0.0,3.86,0.47,-0.0
3.551,3.86,0.47,-0.0,3.86,0.47,-0.0
3.561,3.86,0.47,-0.0,3.86,0.47,-0.0
3.571,3.87,0.47,-0.0,3.87,0.47,-0.0
3.581,3.87,0.48,-0.0,3.87,0.48,-0.0
3.591,3.87,0.48,-0.0,3.87,0.48,-0.0
3.601,3.87,0.48,-0.0,3.87,0.48,-0.0
3.611,3.87,0.48,-0.0,3.87,0.48,-0.0
3.621,3.87,0.49,-0.0,3.87,0.49,-0.0
3.631,3.88,0.49,-0.0,3.88,0.49,-0.0
3.641,3.88,0.49,-0.0,3.88,0.49,-0.0
3.651,3.88,0.49,-0.0,3.88,0.49,-0.0
3.661,3.88,0.5,-0.0,3.88,0.5,-0.0
3.671,3.88,0.5,-0.0,3.88,0.5,-0.0
3.681,3.88,0.5,-0.0,3.88,0.5,-0.0
3.691,3.88,0.5,-0.0,3.88,0.5,-0.0
3.701,3.89,0.51,-0.0,3.89,0.51,-0.0
3.711,3.89,0.51,-0.0,3.89,0.51,-0.0
